Beer abv, Average rating
"",3.6295493103193923
0.01,2.2
0.05,2.235294117647059
0.08,1.0
0.1,2.6818181818181817
0.25,2.1666666666666665
0.3,2.8205128205128207
0.4,2.310810810810811
0.45,3.0454545454545454
0.5,2.5725288831835686
0.7,2.8333333333333335
0.8,3.5
0.9,2.8333333333333335
1,2.5833333333333335
1.2,2.6367924528301887
1.25,2.5
1.3,4.5
1.4,4.0
1.5,2.1666666666666665
1.7,3.75
1.8,3.7058823529411766
1.9,4.166666666666667
10,3.9332055494706095
10.01,4.0
10.03,3.6511627906976742
10.06,4.082706766917293
10.08,3.5
10.1,3.7875
10.13,4.066666666666666
10.14,3.855769230769231
10.17,4.0
10.2,4.029918996603083
10.24,3.8541666666666665
10.25,3.4596774193548385
10.27,4.25
10.28,3.5388888888888888
10.3,3.872733953944145
10.31,4.0
10.37,3.576923076923077
10.4,3.864437913299045
10.43,4.443820224719101
10.5,3.9828190079515333
10.58,5.0
10.6,4.079634464751958
10.7,3.8980477223427332
10.75,4.23
10.76,4.0
10.8,3.8785602503912364
10.9,3.9684647302904565
10.98,4.2272727272727275
11,3.9612134017506793
11.01,3.5
11.03,3.748743718592965
11.04,4.071428571428571
11.1,3.824699110413396
11.15,3.75
11.2,4.169532130777903
11.25,3.8225806451612905
11.26,3.9531502423263327
11.3,4.2679726131608975
11.4,3.8745535714285713
11.41,3.9
11.5,3.9761823361823363
11.59,3.9583333333333335
11.6,3.7096774193548385
11.65,3.1774193548387095
11.67,4.2
11.7,3.925675675675676
11.75,3.490625
11.8,3.772192827748383
11.9,3.8666150670794632
11.99,3.7857142857142856
12,3.9206101914962677
12.1,3.3666666666666667
12.12,4.406976744186046
12.2,4.165
12.25,3.84375
12.3,3.769230769230769
12.4,3.692857142857143
12.5,4.0500404639870515
12.6,4.069767441860465
12.7,4.118466898954704
12.8,4.175675675675675
12.9,3.4646017699115044
13,4.079770824151609
13.1,3.4772423025435075
13.16,4.195238095238095
13.2,4.044372294372295
13.25,4.0
13.3,3.7
13.4,4.449664429530201
13.5,4.168478260869565
13.6,3.950980392156863
13.7,4.06
13.8,4.045454545454546
13.9,4.722222222222222
14,3.729465824238943
14.1,4.375
14.3,3.951219512195122
14.5,4.055776014109347
14.6,3.4
14.7,4.237623762376238
14.9,2.323529411764706
15,4.032872928176795
15.02,4.0
15.04,3.7043628013777266
15.1,3.9
15.2,3.688888888888889
15.3,3.9
15.43,4.293103448275862
15.5,3.772020725388601
15.6,3.35
15.9,3.8031914893617023
16,4.086956521739131
16.03,4.393939393939394
16.1,3.5
16.2,3.9166666666666665
16.3,3.625
16.4,3.769230769230769
16.45,3.580808080808081
16.5,3.413793103448276
16.8,3.660894660894661
16.83,3.4565217391304346
16.9,3.375
17,3.928861788617886
17.2,4.0
17.35,5.0
17.4,4.5
17.5,2.773645058448459
18,3.6152526869426023
18.1,3.0375
18.2,3.9601769911504423
18.3,4.466666666666667
18.4,3.4338235294117645
18.5,4.0636363636363635
19.2,3.8333333333333335
19.37,3.0714285714285716
19.5,3.3461538461538463
2,3.3044871794871793
2.1,2.6666666666666665
2.16,3.5
2.2,2.4615384615384617
2.25,2.375
2.3,2.488235294117647
2.4,2.5208333333333335
2.5,3.683333333333333
2.6,2.9743589743589745
2.7,2.6530612244897958
2.75,3.5
2.8,2.9283980582524274
2.9,3.2954545454545454
2.92,3.1666666666666665
20,3.5
21,4.568181818181818
21.92,3.7564102564102564
22,4.416666666666667
24,3.8
25,3.661290322580645
26,4.358108108108108
27,4.066197183098591
28,3.5
29,4.4375
3,3.5341530054644807
3.1,4.058355437665782
3.13,3.6
3.2,3.476510067114094
3.22,2.75
3.25,3.7333333333333334
3.3,3.150070126227209
3.4,3.538983050847458
3.44,2.5
3.5,3.352158273381295
3.53,4.0
3.54,4.166666666666667
3.6,3.5641025641025643
3.61,3.25
3.65,3.4216867469879517
3.67,3.125
3.7,3.474373576309795
3.71,3.0
3.75,3.984375
3.79,2.8
3.8,3.6354705274043435
3.88,2.914473684210526
3.9,3.4724938875305624
3.93,2.6
3.95,2.25
3.99,4.0
30.86,3.5
32,3.1875
39,4.5
39.44,3.3333333333333335
4,3.6518190879641166
4.01,3.0
4.06,3.3333333333333335
4.08,3.5
4.1,3.2319574247144343
4.13,2.7549019607843137
4.14,4.0
4.15,2.993827160493827
4.16,3.5
4.17,2.7583179297597042
4.19,3.4849397590361444
4.2,3.2699134082719303
4.25,3.7178477690288716
4.26,2.5
4.28,3.577319587628866
4.29,3.0
4.3,3.572049054675524
4.31,4.0
4.32,3.775
4.33,3.75
4.34,3.0
4.35,3.4183673469387754
4.37,3.0
4.38,3.2115384615384617
4.39,3.933649289099526
4.4,3.697713870264157
4.41,4.25
4.44,3.125
4.45,2.25
4.46,3.25
4.47,3.642857142857143
4.48,3.4473684210526314
4.5,3.5334491450371277
4.51,3.75
4.53,3.4375
4.55,3.126984126984127
4.56,3.25
4.58,3.0625
4.59,4.0
4.6,3.4159500693481277
4.62,3.4315068493150687
4.63,3.6818181818181817
4.64,3.7142857142857144
4.65,3.454054054054054
4.66,2.7913719943422914
4.67,3.0535714285714284
4.68,3.55188679245283
4.69,4.0
4.7,3.539802880970432
4.72,3.1052009456264775
4.73,3.169491525423729
4.74,3.6123287671232878
4.75,3.60423197492163
4.76,4.0
4.77,3.875
4.78,3.3402061855670104
4.79,3.891304347826087
4.8,3.705207218511274
4.81,3.370967741935484
4.83,4.0
4.85,3.727272727272727
4.86,3.4358974358974357
4.87,3.6666666666666665
4.88,3.9166666666666665
4.89,3.434375
4.9,3.7323380992430613
4.91,4.0
4.94,3.832034632034632
4.95,3.712806026365348
4.96,3.3759398496240602
4.97,2.3333333333333335
4.98,3.5093023255813955
4.99,3.5
41,3.1973684210526314
43,3.75
5,3.6334338122113903
5.01,3.7048192771084336
5.02,3.6363636363636362
5.04,4.0
5.05,3.73546511627907
5.06,3.6
5.07,3.6714285714285713
5.09,4.0
5.1,3.7356102221160734
5.11,3.6810344827586206
5.12,3.32
5.13,3.5833333333333335
5.14,3.5
5.15,3.985215053763441
5.16,3.625
5.17,4.0
5.18,3.704081632653061
5.19,3.1333333333333333
5.2,3.730412776185634
5.21,3.611111111111111
5.23,3.6116279069767443
5.24,3.4047619047619047
5.25,3.822938689217759
5.27,3.8793103448275863
5.28,3.4411764705882355
5.29,3.875
5.3,3.7675777892384392
5.31,3.7083333333333335
5.32,5.0
5.33,3.230769230769231
5.34,3.559090909090909
5.35,3.7199367088607596
5.36,4.75
5.38,3.579310344827586
5.39,3.991869918699187
5.4,3.79708963560064
5.41,3.3020050125313283
5.42,3.507853403141361
5.43,4.147058823529412
5.44,3.75
5.45,3.7723342939481266
5.46,3.431578947368421
5.47,3.5
5.48,4.5
5.5,3.739679715302491
5.51,3.537280701754386
5.52,3.9245014245014245
5.53,4.375
5.54,3.53125
5.55,4.0
5.56,3.5232558139534884
5.57,3.709251101321586
5.58,3.5319148936170213
5.59,3.6923076923076925
5.6,3.819008750389098
5.61,2.7300724637681157
5.62,3.3854166666666665
5.63,3.3658536585365852
5.64,4.166666666666667
5.65,3.619047619047619
5.67,4.181818181818182
5.68,3.8589041095890413
5.69,3.625
